"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Song K.; Song T.J.; Woo H.G.; Kim B.J.; Seo W.-K.; Kang H.G.; Kim C.K.; Park H.-K.; Jung Y.H.; Choi K.-H.; Kim B.J.","Song, Kwanju (59915757000); Song, Tae Jin (55507164200); Woo, Ho Geol (60022528800); Kim, Beom Joon (56415337700); Seo, Woo-Keun (22981667600); Kang, Hyun Goo (56739626400); Kim, Chi Kyung (56701057800); Park, Hong-Kyun (58205849100); Jung, Yo Han (56610502000); Choi, Kang-Ho (36491173100); Kim, Bum Joon (57214661365)","59915757000; 55507164200; 60022528800; 56415337700; 22981667600; 56739626400; 56701057800; 58205849100; 56610502000; 36491173100; 57214661365","Rationale and Design of the Efficacy and Safety of a Patch-Type Cardiac Monitor for Diagnosing Paroxysmal Atrial Fibrillation in Embolic Stroke of Undetermined Source Patients with Left Atrial Enlargement (SOLO-ESUS): A Randomized Controlled Trial","2026","Cerebrovascular Diseases","55","1","","83","90","0","10.1159/000545883","https://www.scopus.com/pages/publications/105008105909?origin=resultslist","Article","Final","Scopus","2-s2.0-105008105909"
"Diller G.-P.; Arvanitaki A.; Habibi H.; Nashat H.","Diller, Gerhard-Paul (8541842200); Arvanitaki, Alexandra (57201399998); Habibi, Hajar (47061316300); Nashat, Heba (56521608800)","8541842200; 57201399998; 47061316300; 56521608800","Artificial Intelligence, Technology and Remote Monitoring in Adults With Congenital Heart Disease","2025","Diagnosis and Management of Adult Congenital Heart Disease","","","","286","293","0","10.1016/B978-0-702-08231-3.00027-2","https://www.scopus.com/pages/publications/105027200099?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105027200099"
"Bernante A.J.; Recto K.J.; Pedrasa J.R.","Bernante, Aaron John (59188174400); Recto, Khristine Joie (59188378700); Pedrasa, Jhoanna Rhodette (24462196100)","59188174400; 59188378700; 24462196100","Mobile Application for Remote Monitoring of Peripheral Edema","2024","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","572 LNICST","","","259","273","1","10.1007/978-3-031-59717-6_18","https://www.scopus.com/pages/publications/85196772888?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85196772888"
"Bisignani G.; Cheung J.W.; Rordorf R.; Kutyifa V.; Hofer D.; Berti D.; Di Biase L.; Martens E.; Russo V.; Vitillo P.; Zoutendijk M.; Deneke T.; Köhler I.; Schrader J.; Upadhyay G.","Bisignani, Giovanni (6701729683); Cheung, Jim W. (7202073208); Rordorf, Roberto (23670613600); Kutyifa, Valentina (24492255000); Hofer, Daniel (7006908172); Berti, Dana (16400905100); Di Biase, Luigi (24328804400); Martens, Eimo (53064196900); Russo, Vincenzo (57224687029); Vitillo, Paolo (57219797952); Zoutendijk, Marlies (58865587200); Deneke, Thomas (55909968600); Köhler, Irina (58866467400); Schrader, Jürgen (57196506253); Upadhyay, Gaurav (6603013053)","6701729683; 7202073208; 23670613600; 24492255000; 7006908172; 16400905100; 24328804400; 53064196900; 57224687029; 57219797952; 58865587200; 55909968600; 58866467400; 57196506253; 6603013053","Implantable cardiac monitors: artificial intelligence and signal processing reduce remote ECG review workload and preserve arrhythmia detection sensitivity","2024","Frontiers in Cardiovascular Medicine","11","","1343424","","","10","10.3389/fcvm.2024.1343424","https://www.scopus.com/pages/publications/85184221079?origin=resultslist","Article","Final","Scopus","2-s2.0-85184221079"
"Boschiero D.; Gallotta A.; Ferrari F.; Dragoumani K.; Lamprou G.; Vlachakis D.; Chrousos G.P.","Boschiero, Dario (24485282100); Gallotta, Andrea (57416233700); Ferrari, Francesca (59398623300); Dragoumani, Konstantina (57202972771); Lamprou, George (60547711900); Vlachakis, Dimitrios (23096470700); Chrousos, George P. (36051235900)","24485282100; 57416233700; 59398623300; 57202972771; 60547711900; 23096470700; 36051235900","Predictive health index: integrating body composition and heart rate variability metrics with artificial intelligence to predict chronic disease risk and specific chronic non-communicable diseases","2026","Hormones","25","1","","181","193","2","10.1007/s42000-025-00727-2","https://www.scopus.com/pages/publications/105024361021?origin=resultslist","Article","Final","Scopus","2-s2.0-105024361021"
"Karthik G.; Menon D.S.; Krishnan M.S.","Karthik, G. (57213114424); Menon, Darshan S (60103631500); Krishnan, M Soumya (58600494100)","57213114424; 60103631500; 58600494100","A Hybrid EEG-ECG System for Safe Brain-Computer Interfaces with Real-Time Arrhythmia Detection","2025","Conference Proceedings - 2025 4th International Conference on Advances in Computing, Communication, Embedded and Secure Systems, ACCESS 2025","","","","783","789","0","10.1109/ACCESS65134.2025.11135683","https://www.scopus.com/pages/publications/105016308607?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105016308607"
"Tetaj N.; Segreti A.; Piccirillo F.; Ferro A.; Ligorio V.; Spagnolo A.; Pelullo M.; Crispino S.P.; Grigioni F.","Tetaj, Nardi (57219780665); Segreti, Andrea (35198811300); Piccirillo, Francesco (57211503412); Ferro, Aurora (59711123800); Ligorio, Virginia (60424212000); Spagnolo, Alberto (60576403900); Pelullo, Michele (60423731100); Crispino, Simone Pasquale (57226423087); Grigioni, Francesco (60576314600)","57219780665; 35198811300; 57211503412; 59711123800; 60424212000; 60576403900; 60423731100; 57226423087; 60576314600","AI-Enabled Sensor Technologies for Remote Arrhythmic Monitoring in High-Risk Cardiomyopathy Genotypes","2026","Sensors","26","7","2078","","","0","10.3390/s26072078","https://www.scopus.com/pages/publications/105035591178?origin=resultslist","Review","Final","Scopus","2-s2.0-105035591178"
"Cramer I.; van Esch R.; Verstappen C.; Kloeze C.; van Bussel B.; Stuijk S.; Bergmans J.; van ’t Veer M.; Zinger S.; Montenij L.; Bouwman R.A.; Dekker L.","Cramer, Iris (57189663547); van Esch, Rik (57219955637); Verstappen, Cindy (58296831200); Kloeze, Carla (56002346700); van Bussel, Bas (23111535700); Stuijk, Sander (9335694900); Bergmans, Jan (7005821581); van ’t Veer, Marcel (58175887600); Zinger, Svitlana (56129114800); Montenij, Leon (56394459900); Bouwman, R. Arthur (57220371756); Dekker, Lukas (7006638521)","57189663547; 57219955637; 58296831200; 56002346700; 23111535700; 9335694900; 7005821581; 58175887600; 56129114800; 56394459900; 57220371756; 7006638521","Accuracy of remote, video-based supraventricular tachycardia detection in patients undergoing elective electrical cardioversion: a prospective cohort","2025","Journal of Clinical Monitoring and Computing","39","5","","821","829","4","10.1007/s10877-025-01263-5","https://www.scopus.com/pages/publications/85217380980?origin=resultslist","Article","Final","Scopus","2-s2.0-85217380980"
"Dabbagh A.; Sabouri A.S.; Madadi F.","Dabbagh, Ali (22940139200); Sabouri, A. Sassan (55969695300); Madadi, Firoozeh (35795920300)","22940139200; 55969695300; 35795920300","Artificial Intelligence in Cardiovascular and Thoracic Anesthesia","2025","Anesthesiology Clinics","43","3","","471","489","0","10.1016/j.anclin.2025.05.003","https://www.scopus.com/pages/publications/105009693975?origin=resultslist","Review","Final","Scopus","2-s2.0-105009693975"
"Cubillo C.M.; López I.L.; Ben Abdellah L.D.","Cubillo, Celia Martín (60131921400); López, Inmaculada Luengo (60132031600); Ben Abdellah, Lubna Dani (56371911800)","60131921400; 60132031600; 56371911800","SHIELD, Strategic Health Initiatives for Effective Disease Prevention","2025","Studies in Health Technology and Informatics","329","","","470","474","0","10.3233/SHTI250884","https://www.scopus.com/pages/publications/105013234573?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105013234573"
