"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Roy T.S.; Roy J.K.; Mandal N.","Roy, Tanmay Sinha (57201671104); Roy, Joyanta Kumar (55053195300); Mandal, Nirupama (26436005000)","57201671104; 55053195300; 26436005000","Design and development of electronic stethoscope for early screening of valvular heart disease prediction","2023","Biomedical Signal Processing and Control","86","","105086","","","19","10.1016/j.bspc.2023.105086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161507114&doi=10.1016%2Fj.bspc.2023.105086&partnerID=40&md5=95859f9bfdffcd21fd8ef0f2aef37aa6","The significant human population of the world is suffering from valvular heart diseases and dies due to the lack of a simple predictive diagnosis system. Identifying the abnormalities in heart sound needs excellent auscultation skills and experience. Thus an electronic stethoscope is designed and developed using different microphonic heads. In this research work, hardware development of an electronic stethoscope interfaced with raspberry pi 4B and software development of the proposed CNN-based deep learning model is carried out. The Bluetooth-enabled electronic stethoscope is used to auscultate the heart sound analyzed with a developed deep learning Convolutional Neural Network-based Efficient Network model. The developed CNN model is designed with classifiers to predict valvular diseases accurately. The analysis result is almost in real-time processed and stored in the Cloud. The design provides a better way of studying PCG signal analysis, which eventually reduces the cost and makes the system compact. The proposed model has been trained through a standard and validated heart sound bank of normal and abnormal diseases and predicts the abnormality with accuracy. The proposed modified Efficient Net - B3 model scored an accuracy of 99.35 ± 0.34% on the test dataset with a sensitivity of 98.84 ± 0.07% and specificity of 98.23 ± 0.52%. The Selenium Web Driver tool with Google Drive API is used to automate the web application PCG signal analysis. Finally, the SQLite database has been used as a back-end server to store the patient record. The system is low-cost and portable, with data remotely accessible and tested with volunteers. The developed system can be used in rural areas where there is a lack of medical facilities exists and can be used to initiate primary screening of valvular diseases. © 2023 Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85161507114"
"Mesitskaya D.F.; Fashafsha Z.Z.A.; Poltavskaya M.G.; Andreev D.A.; Levshina A.R.; Sultygova E.A.; Gognieva D.; Chomakhidze P.; Kuznetsova N.; Suvorov A.; Marina I. S.; Poddubskaya E.; Novikova A.; Bykova A.; Kopylov P.","Mesitskaya, Dinara F. (56528511200); Fashafsha, Zaki Z.A. (57579536600); Poltavskaya, Maria G. (57219951375); Andreev, Denis A. (8235830500); Levshina, Anna R. (57223935450); Sultygova, Elizaveta A. (58782171400); Gognieva, Daria (57194189676); Chomakhidze, Petr (56037717000); Kuznetsova, Natalia (57217866769); Suvorov, Alexander (57213827983); Marina I., Sekacheva (24342526600); Poddubskaya, Elena (56089215700); Novikova, Alena (57214321803); Bykova, Aleksandra (57109129000); Kopylov, Philipp (58769028200)","56528511200; 57579536600; 57219951375; 8235830500; 57223935450; 58782171400; 57194189676; 56037717000; 57217866769; 57213827983; 24342526600; 56089215700; 57214321803; 57109129000; 58769028200","A single-lead ECG based cardiotoxicity detection in patients on polychemotherapy","2024","IJC Heart and Vasculature","50","","101336","","","9","10.1016/j.ijcha.2024.101336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183570574&doi=10.1016%2Fj.ijcha.2024.101336&partnerID=40&md5=405749ab045e3cddc2d0c63c4e87b102","Background: Anti-cancer treatment can be fraught with cardiovascular complications, which is the most common cause of death among oncological survivors. Without appropriate cardiomonitoring during anti-cancer treatment, it becomes challenging to detect early signs of cardiovascular complications. In order to achieve higher survival rates, it is necessary to monitor oncological patients outpatiently after anti-cancer treatment administration. In this regard, we aim to evaluate the efficacy of single-lead ECG remote monitoring to detect cardiotoxicity in cancer patients with minimal cardiovascular diseases after the first cycle of polychemotherapy. Materials and methods: The study included patients 162 patients over 18 years old with first diagnosed different types of solid tumors, planed for adjuvant (within 8 weeks after surgery) or neoadjuvant polychemotherapy. All patients were monitored, outpatiently, during 14–21 days (depending on the regimen of polychemotherapy) after polychemotherapy administration using single-lead ECG. Results: QTc > 500 mc prolongation was detected in 8 patients (6.6 %), first-diagnosed arial fibrillation was detected in 11 patients (9 %) in period after chemotherapy administration. Moreover, left ventricular diastolic dysfunction using single-lead ECG after polychemotherapy was detected in 49 (40.1 %) patients with sensitivity 80 %, specificity 95 %, AUC 0.88 (95 % CI, 0.82–0.93). Conclusions: The side effects of cancer treatment may cause life-threatening risks. Early identification of cardiotoxicity plays a vital role in the solution of this problem. Using portable devices to detect early cardiotoxicity is a simple, convenient and affordable screening method, that can be used for promptly observation of patients. © 2024 The Author(s)","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85183570574"
"Raheja N.; Kumar Manocha A.","Raheja, Nisha (57215657099); Kumar Manocha, Amit (26639645900)","57215657099; 26639645900","An IoT enabled secured clinical health care framework for diagnosis of heart diseases","2023","Biomedical Signal Processing and Control","80","","104368","","","33","10.1016/j.bspc.2022.104368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141467130&doi=10.1016%2Fj.bspc.2022.104368&partnerID=40&md5=91cffaf8d89c86346b4376e1b4f36b5e","World Health Organization (WHO) estimated cardiovascular diseases (CVDs) is main contributor to the death count globally. In addition, there are shortcomings of specialists in developing countries to handle these diseases. Internet of things (IoT) and significant advances in machine learning techniques offers more efficient healthcare services. The research work proposed a IoT enabled, cloud-centric solution for remote monitoring of ECG, which could save lives of rural area people particularly in Golden hour. Firstly, pre-processing of ECG signal is performed using Savitzky-Golay (SG filter) for removal of the baseline wanders and maximum overlap discrete wavelet packet transform (MOWPT) is applied for the removal of high noise followed by delineation process of ECG characteristic points. Then deep learned convolution neural network (CNN) is trained and classification is done. For encryption and authentication, Triple data encryption standard is used for security whereas, water cycle optimization technique is used for authentication. IoT is implemented using the ThingSpeak platform, which enables the visualization and analysed the ECG data over the cloud server. Using ThingSpeak, encrypted and authenticated ECG data is shared with cardiologist for examination. To validate the proposed classification method, the standard annotated dataset of the MIT-BIH database is tested and various performance metrics were calculated. The proposed deep learned CNN classifier classifies the heartbeats into five types of arrhythmias with an average accuracy of 99.12%, whereas the sensitivity and specificity of this proposed model are 100% and 99.9% respectively. The achieved results demonstrated better performance as compared to methods reported in the literature. © 2022","","Article","Final","","Scopus","2-s2.0-85141467130"
"Yasli G.; Damar M.; Özbiçakci Ş.; Alici S.; Pinto A.D.","Yasli, Gökben (36478098000); Damar, Muhammet (57200527612); Özbiçakci, Şeyda (9280206500); Alici, Serkan (57484469300); Pinto, Andrew David (7402306537)","36478098000; 57200527612; 9280206500; 57484469300; 7402306537","Primary care research on hypertension: A bibliometric analysis using machine-learning","2024","Medicine (United States)","103","47","","e40482","","4","10.1097/MD.0000000000040482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210761257&doi=10.1097%2FMD.0000000000040482&partnerID=40&md5=2264963c59f484ccb777a7fd8d4ca1cf","Hypertension is one of the most important chronic diseases worldwide. Hypertension is a critical condition encountered frequently in daily life, forming a significant area of service in Primary Health Care (PHC), which healthcare professionals often confront. It serves as a precursor to many critical illnesses and can lead to fatalities if not addressed promptly. Our study underscores the importance of this critical issue by analyzing articles related to hypertension in the PHC research area from the Web of Science Core Collection using bibliometric methods and machine learning techniques, specifically topic analyses using the latent Dirichlet allocation method. The analysis was conducted using Python Scikit-learn, Gensim, and Wordcloud Libraries, the VosViewer program, and the Bibliometrix R Biblioshiny library. Our findings revealed a steady increase in publication output in hypertension-related research. Analysis shows that hypertension-related research in the PHC research area is clustered into 8 groups: (1) management of hypertension in PHC, risk factors, and complications; (2) psychiatric disorders and hypertension; (3) pediatric and pregnancy hypertension; (4) environmental factors and living conditions; (5) sex and age effects on hypertension; (6) COVID-19 and hypertension; (7) behavioral risk factors, quality of life, and awareness; and (8) current treatment methods and guidelines. Research on hypertension has focused intensively on kidney disease, obesity, pregnancy, cardiovascular risk, heart disease, calcium channel blockers, body mass index, amlodipine, mortality, risk factors, hyperlipidemia, depression, and resistant hypertension. This study represents the first and comprehensive bibliometric analysis of hypertension in the PHC research area. Annual publication volumes have steadily increased over the years. In recent years, topics such as social determinants, patient attendance, self-management, diabetes mellitus, COVID-19, telemedicine, type 2 diabetes, and noncommunicable diseases have garnered significant interest in the field of PHC services.  © 2024 the Author(s). Published by Wolters Kluwer Health, Inc.","39809211","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85210761257"
"Kańtoch E.","Kańtoch, Eliasz (54398761700)","54398761700","Recognition of sedentary behavior by machine learning analysis of wearable sensors during activities of daily living for telemedical assessment of cardiovascular risk","2018","Sensors (Switzerland)","18","10","3219","","","64","10.3390/s18103219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054143911&doi=10.3390%2Fs18103219&partnerID=40&md5=45889cdc931433b1eef6425308cab964","With the recent advancement in wearable computing, sensor technologies, and data processing approaches, it is possible to develop smart clothing that integrates sensors into garments. The main objective of this study was to develop the method of automatic recognition of sedentary behavior related to cardiovascular risk based on quantitative measurement of physical activity. The solution is based on the designed prototype of the smart shirt equipped with a processor, wearable sensors, power supply and telemedical interface. The data derived from wearable sensors were used to create feature vector that consisted of the estimation of the user-specific relative intensity and the variance of filtered accelerometer data. The method was validated using an experimental protocol which was designed to be safe for the elderly and was based on clinically validated short physical performance battery (SPPB) test tasks. To obtain the recognition model six classifiers were examined and compared including Linear Discriminant Analysis, Support Vector Machines, K-Nearest Neighbors, Naive Bayes, Binary Decision Trees and Artificial Neural Networks. The classification models were able to identify the sedentary behavior with an accuracy of 95.00% ± 2.11%. Experimental results suggested that high accuracy can be obtained by estimating sedentary behavior pattern using the smart shirt and machine learning approach. The main advantage of the developed method to continuously monitor patient activities in a free-living environment and could potentially be used for early detection of increased cardiovascular risk. © 2018 by the author. Licensee MDPI, Basel, Switzerland.","30249987","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85054143911"
"Warraich H.J.; Patrick-Lake B.; Saha A.; Rashid L.; Pai V.; Abbasi A.; Diamond M.C.; Tazbaz T.; Califf R.M.","Warraich, Haider J. (16204620000); Patrick-Lake, Bray (56884793100); Saha, Anindita (22635452600); Rashid, Leeda (56725478200); Pai, Vinay (58417166400); Abbasi, Ali (59161588800); Diamond, Matthew C. (57740945900); Tazbaz, Troy (58786032700); Califf, Robert M. (59111332600)","16204620000; 56884793100; 22635452600; 56725478200; 58417166400; 59161588800; 57740945900; 58786032700; 59111332600","Digital Health Technologies for Cardiometabolic Disease and Diabetes: A Perspective From the U.S. Food and Drug Administration","2025","Journal of the American College of Cardiology","85","5","","528","535","1","10.1016/j.jacc.2024.10.075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213532873&doi=10.1016%2Fj.jacc.2024.10.075&partnerID=40&md5=6574f817bdd908b750cdedc84d1ac679","[No abstract available]","39641737","Article","Final","","Scopus","2-s2.0-85213532873"
"Ragab M.; Algarni A.; Bahaddad A.A.; Mansour R.F.","Ragab, Mahmoud (55932216500); Algarni, Ali (57140385200); Bahaddad, Adel A. (56922260800); Mansour, Romany F. (36960713000)","55932216500; 57140385200; 56922260800; 36960713000","Machine learning applied to problem-solving inmedical applications","2021","Computers, Materials and Continua","69","2","","2277","2294","3","10.32604/cmc.2021.018000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110426213&doi=10.32604%2Fcmc.2021.018000&partnerID=40&md5=141c4651d5fd4607e051778188bc465f","Physical health plays an important role in overall well-being of the human beings. It is the most observed dimension of health among others such as social, intellectual, emotional, spiritual and environmental dimensions.Due to exponential increase in the development of wireless communication techniques, Internet of Things (IoT) has effectively penetrated different aspects of human lives. Healthcare is one of the dynamic domains with ever-growing demands which can be met by IoT applications. IoT can be leveraged through several health service offerings such as remote health and monitoring services, aided living, personalized treatment, and so on. In this scenario, Deep Learning (DL) models are employed in proficient disease diagnosis. The current research work presents a new IoT-based physical health monitoring and management method using optimal Stacked Sparse Denoising Autoencoder (SSDA) technique i.e., OSSDA. The proposed model utilizes a set of IoT devices to collect the data from patients. Imbalanced class problem poses serious challenges during disease diagnosis process. So, the OSSDA model includes SyntheticMinority Over-Sampling Technique (SMOTE) to generate artificialminority class instances to balance the class distribution. Further, the hyperparameter settings of the OSSDA model exhibit heavy influence upon the classification performance of SSDA technique. The number of hidden layers, sparsity, and noise count are determined by Sailfish Optimizer (SFO). In order to validate the effectiveness and performance of the proposed OSSDA technique, a set of experiments was conducted on diabetes and heart disease datasets. The simulation results portrayed a proficient diagnostic outcome from OSSDA technique over other methods. The proposed method achieved the highest accuracy values i.e., 0.9604 and 0.9548 on the applied heart disease and diabetes datasets respectively. © 2021 Tech Science Press. All rights reserved.","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85110426213"
"Panula T.; Sirkia J.-P.; Wong D.; Kaisti M.","Panula, Tuukka (57207199809); Sirkia, Jukka-Pekka (57222002313); Wong, David (57203608370); Kaisti, Matti (56285632300)","57207199809; 57222002313; 57203608370; 56285632300","Advances in Non-Invasive Blood Pressure Measurement Techniques","2023","IEEE Reviews in Biomedical Engineering","16","","","424","438","48","10.1109/RBME.2022.3141877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122874339&doi=10.1109%2FRBME.2022.3141877&partnerID=40&md5=614db4c942735c83285d2c71bce0ac43","Hypertension, or elevated blood pressure (BP), is a marker for many cardiovascular diseases and can lead to life threatening conditions such as heart failure, coronary artery disease and stroke. Several techniques have recently been proposed and investigated for non-invasive BP monitoring. The increasing desire for telemonitoring solutions that allow patients to manage their own conditions from home has accelerated the development of new BP monitoring techniques. In this review, we present the recent progress in non-invasive blood pressure monitoring solutions emphasizing clinical validation and trade-offs between available techniques. We introduce the current BP measurement techniques with their underlying operating principles. New promising proof-of-concept studies are presented and recent modeling and machine learning approaches for improved BP estimation are summarized. This aids discussions on how new BP monitors should evaluated in order to bring forth new home monitoring solutions in wearable form factor. Finally, we discuss on unresolved challenges in making convenient, reliable and validated BP monitoring solutions.  © 2008-2011 IEEE.","35015647","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85122874339"
"Paz E.; Pargaonkar V.S.; Roach B.J.; Meadows M.; Roberts J.M.; Gazit T.; Zaleski A.L.; Craig K.J.T.; Serra S.J.; Dunn P.; Michos E.D.","Paz, Edo (58941930200); Pargaonkar, Vedant S. (56515425300); Roach, Brian J. (35079329100); Meadows, Morgan (57219961438); Roberts, Jennifer M. (59140261400); Gazit, Tomer (57303754700); Zaleski, Amanda L. (56083837600); Craig, Kelly Jean Thomas (57222489049); Serra, Steven J. (59140319200); Dunn, Pat (57192239728); Michos, Erin D. (6506845117)","58941930200; 56515425300; 35079329100; 57219961438; 59140261400; 57303754700; 56083837600; 57222489049; 59140319200; 57192239728; 6506845117","Comprehensive Cardiovascular Risk Factor Control With a Mobile Health Cardiovascular Risk Self-Management Program","2024","Journal of the American Heart Association","13","10","e033328","","","8","10.1161/JAHA.123.033328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194014007&doi=10.1161%2FJAHA.123.033328&partnerID=40&md5=e28e169cb2df8713e54ad1068fc3b3d5","BACKGROUND: Mobile health technology’s impact on cardiovascular risk factor control is not fully understood. This study evalu-ates the association between interaction with a mobile health application and change in cardiovascular risk factors. METHODS AND RESULTS: Participants with hypertension with or without dyslipidemia enrolled in a workplace-deployed mobile health application-based cardiovascular risk self-management program between January 2018 and December 2022. Retrospective evaluation explored the influence of application engagement on change in blood pressure (BP), total cholesterol (TC), low-density lipoprotein cholesterol (LDL-C), and weight. Multiple regression analyses examined the influence of guideline-based, nonpharmacological lifestyle-based digital coaching on outcomes adjusting for confounders. Of 102 475 participants, 49.1% were women. Median age was 53 (interquartile range, 43–61) years, BP was 134 (interquartile range, 124–144)/84 (in-terquartile range, 78–91) mm Hg, TC was 183 (interquartile range, 155–212) mg/dL, LDL-C was 106 (82–131) mg/dL, and body mass index was 30 (26–35) kg/m2. At 2 years, participants with baseline systolic BP ≥140 mm Hg reduced systolic BP by 18.6 (SEM, 0.3) mm Hg. At follow up, participants with baseline TC ≥240 mg/dL reduced TC by 65.7 (SEM, 4.6) mg/dL, participants with baseline LDL-C≥160 mg/dL reduced LDL-C by 66.6 (SEM, 6.2) mg/dL, and participants with baseline body mass index ≥30 kg/m2 lost 12.0 (SEM, 0.3) pounds, or 5.1% of body weight. Interaction with digital coaching was associated with greater reduction in all outcomes. CONCLUSIONS: A mobile health application-based cardiovascular risk self-management program was associated with favorable reductions in BP, TC, LDL-C, and weight, highlighting the potential use of this technology in comprehensive cardiovascular risk factor control. © 2024 The Authors and Hello Doctor, Ltd.","38757455","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85194014007"
"Khan M.A.; Saudagar A.K.J.; Yaqoob M.M.; Nazir M.; Yousafzai A.; Khaliq uz Zaman S.; Alkhrijah Y.M.; Mazhar T.","Khan, Muhammad Amir (56132357300); Saudagar, Abdul Khader Jilani (56166431300); Yaqoob, Muhammad Mateen (57201794812); Nazir, Muhammad (27067832200); Yousafzai, Abdullah (56556462500); Khaliq uz Zaman, Sardar (59663393200); Alkhrijah, Yazeed Masaud (57222055391); Mazhar, Tehseen (57219034600)","56132357300; 56166431300; 57201794812; 27067832200; 56556462500; 59663393200; 57222055391; 57219034600","Federated learning for heart disease detection and classification in edge enabled IoMT-based healthcare: taxonomy, challenges, and opportunities","2025","Computing","107","11","219","","","0","10.1007/s00607-025-01572-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019796337&doi=10.1007%2Fs00607-025-01572-2&partnerID=40&md5=a7576287c74164cc97f6d249db470fbb","Heart disease is a major cause of death globally, making early and precise diagnosis an essential area of research. The advent of Internet of Medical Things (IoMT) enables continuous patient monitoring making it easier to collect vital sensor data, the machine learning (ML) algorithms have shown better performance for precise diagnosis of patients’ heart conditions. However, conventional ML approaches rely on centralized data collection, which raises significant privacy and security concerns. To address data privacy concerns and enhance model training in a decentralized fashion, federated learning (FL) was introduced. FL works in a decentralized way by enabling the on-device model training on local data while ensuring that the patient’s data never leaves the local device. In this way, FL aligns healthcare systems with stringent data privacy regulations and enhances the privacy of healthcare systems. This survey provides a detailed review of ML and FL techniques for heart disease prediction in edge-enabled IoMT environments. We first develop a taxonomy of methods that includes traditional ML techniques, deep learning methods, and FL-based frameworks. We then conduct a comparative analysis of these techniques, emphasizing their strengths, limitations, and suitability for real-world healthcare scenarios. Additionally, we examine commonly used benchmark datasets for heart disease diagnosis and evaluate their appropriateness for ML and FL applications in IoMT settings. Our findings suggest that FL offers privacy-preserving capabilities while achieving predictive accuracy comparable to, or better than, that of centralized ML methods. We also highlight the key open research challenges of integrating FL-based methods in healthcare systems for heart disease prediction. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.","","Article","Final","","Scopus","2-s2.0-105019796337"
